                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2814,                 10.082,                0.53385,                 1.2286,                 1.2514,                0.92557,                0.96907,                0.98184,                0.77959,                      0,                      0,                      0,                      0,                0.78296,                 8.0875,                0.10092,                 0.6566,                0.86706,                0.00048,                0.00048,                0.00048
                      2,                0.93063,                 7.7981,                0.38887,                0.77596,                 1.0658,                0.96502,                0.85314,                0.94776,                0.70255,                 0.0508,                0.03093,                0.00665,                0.00109,                0.89443,                   7.13,                0.05342,                0.77532,                0.93375,              0.0009703,              0.0009703,              0.0009703
                      3,                0.94953,                 7.5173,                 0.3515,                0.77601,                 1.0628,                0.53854,                0.62565,                0.64518,                 0.4561,                0.05147,                0.06186,                0.01056,                0.00106,                 1.1412,                 6.8531,                 0.0812,                 2.0544,                 1.0069,              0.0014507,              0.0014507,              0.0014507
                      4,                0.94698,                 7.1237,                0.32838,                0.75786,                 1.0465,                0.94201,                0.94845,                0.96533,                0.75197,                0.00181,                0.01031,                 0.0002,                  2e-05,                 0.8553,                 7.6796,                0.04148,                 1.2592,                0.93018,              0.0019212,              0.0019212,              0.0019212
                      5,                0.93051,                 6.9319,                0.30783,                0.74214,                 1.0682,                0.99407,                0.94845,                 0.9871,                0.79735,                0.13509,                0.12371,                0.02379,                0.00238,                0.72116,                   6.22,                0.04307,                 0.6708,                 0.8604,              0.0019208,              0.0019208,              0.0019208
                      6,                0.92256,                 6.7742,                0.30812,                0.75153,                  1.077,                 0.9689,                0.96359,                0.98785,                0.80494,                0.01031,                0.01031,                0.00042,                  4e-05,                0.68168,                 6.2779,                0.03017,                0.73191,                0.84164,              0.0019208,              0.0019208,              0.0019208
                      7,                0.91591,                 6.6407,                0.30348,                0.72696,                 1.0438,                0.95926,                0.97108,                0.99211,                0.80405,                0.26367,                0.25773,                0.09513,                0.01036,                0.65822,                 5.7145,                0.05164,                0.71395,                0.85893,               0.001901,               0.001901,               0.001901
                      8,                0.90515,                 6.5396,                0.30226,                0.69936,                 1.0499,                0.94871,                0.95353,                0.98621,                0.80374,                0.20621,                0.20619,                 0.0504,                0.00536,                0.67628,                 5.8124,                0.02913,                0.77177,                0.87657,              0.0018812,              0.0018812,              0.0018812
                      9,                0.87646,                  6.319,                0.29817,                0.65479,                 1.0282,                  0.941,                0.98652,                0.98998,                0.80814,                 0.2068,                0.19588,                0.04911,                0.00641,                0.77693,                 5.9065,                0.03556,                0.70763,                0.89637,              0.0018614,              0.0018614,              0.0018614
                     10,                0.89332,                 6.3372,                0.27872,                0.66401,                 1.0637,                0.98871,                      1,                0.98847,                0.80812,                0.22019,                0.21649,                0.08914,                0.00937,                0.68739,                 5.7051,                0.03849,                0.54134,                0.84642,              0.0018416,              0.0018416,              0.0018416
                     11,                0.82937,                 6.3221,                0.28882,                0.63547,                0.99845,                0.94987,                 0.9768,                0.98885,                0.84264,                0.23442,                0.23711,                0.09389,                0.01031,                0.53527,                 5.6179,                0.03088,                0.46247,                0.79635,              0.0018218,              0.0018218,              0.0018218
                     12,                0.80727,                 6.1413,                0.28563,                0.60787,                0.99012,                0.97918,                0.97938,                0.99301,                0.82914,                0.45757,                0.45223,                0.26896,                0.03859,                0.70387,                 5.3212,                0.02905,                0.46566,                0.83591,               0.001802,               0.001802,               0.001802
                     13,                0.78144,                 5.7912,                0.26511,                0.57523,                0.98783,                0.91863,                0.95876,                0.97579,                0.83629,                0.44942,                0.41237,                0.21892,                 0.0302,                0.58908,                 5.1561,                0.03962,                0.57245,                0.81655,              0.0017822,              0.0017822,              0.0017822
                     14,                0.79487,                 5.8818,                  0.286,                0.59036,                 1.0044,                0.95364,                0.95876,                0.98981,                 0.8253,                0.50915,                0.48454,                0.29079,                0.04159,                0.64169,                 5.0979,                0.03369,                0.60764,                0.82184,              0.0017624,              0.0017624,              0.0017624
                     15,                0.80457,                 5.8272,                0.27641,                0.56367,                 1.0056,                   0.95,                0.97937,                0.98576,                 0.8232,                0.50376,                0.51546,                0.30276,                0.04334,                  0.698,                 4.9347,                0.04271,                0.51438,                0.84076,              0.0017426,              0.0017426,              0.0017426
                     16,                0.79576,                 5.7868,                0.26369,                0.61292,                0.98227,                0.91122,                0.92784,                0.96789,                0.80655,                0.44467,                0.43299,                0.25737,                 0.0331,                0.62719,                 5.6508,                0.03894,                0.70794,                0.82946,              0.0017228,              0.0017228,              0.0017228
                     17,                0.81499,                 5.6828,                0.23427,                 0.5927,                0.99282,                 0.9891,                 0.9354,                 0.9812,                0.78865,                0.54994,                0.51648,                 0.3562,                0.04654,                0.71048,                 4.8374,                 0.0446,                0.55936,                0.83436,               0.001703,               0.001703,               0.001703
                     18,                0.80211,                 5.5913,                0.24314,                0.58149,                0.98598,                0.90809,                0.91669,                0.96454,                0.78009,                0.41533,                0.41013,                0.25782,                0.03058,                0.74752,                 5.2806,                0.05074,                0.67564,                0.88305,              0.0016832,              0.0016832,              0.0016832
